Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-05-27 12:00:00,2023-05-27 12:30:00,00:30:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,B,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,"Retiro De Metal y alambres 
(tiempo acumulado durante turno).
",,,,,
2023-05-27 06:15:00,2023-05-27 07:15:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-27 04:40:00,2023-05-27 04:55:00,00:15:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Pérdida de Señal (P Madera L3),    Electrocontrol,,S,S,"Se actúa sensor de deviación ZS-1646C de la cinta de corteza 210-25-385 lo que genera la perdida de automatismo en equipos de la Línea N°3; se detienen los equipos.
Obs., Para normalizar la condición se actuó una parada de emergencia ES-1338B de la cinta 210-25-206/1, logrando recuperar condición de partida en automatismo de la línea de astillado.
",,,,,
2023-05-27 03:30:00,2023-05-27 03:50:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,Se actúa detector de metales QS-3205 de la cinta 385; se retiran  alambres .Tiempo acumulativo turno.,,,,,
2023-05-27 02:40:00,2023-05-27 03:00:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Taco de Corteza en Cinta (P Madera L3),  Operaciones,,N,S,Taco de corteza en cinta 385 chute cinta 709,,,,,
2023-05-27 00:30:00,2023-05-27 00:30:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,A,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-05-27 00:10:00,2023-05-27 00:30:00,00:20:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L3,A,Otros (P Madera L3),    Mecánica,,N,S,"Trabamiento de la cinta 210-21-390/4 del Picador de Corteza 210-21-390  (no es generado  por el proceso de la corteza).
Tiempo acumulativo turno",,,,,
2023-05-26 22:00:00,2023-05-26 22:50:00,00:50:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L3,C,Otros (P Madera L3),    Mecánica,,N,S,"Trabamiento de la cinta 210-21-390/4  del Picador de Corteza 210-21-390  (no es generado  por el proceso de la corteza).
Ttiempo acumulativo turno",,,,,
2023-05-26 21:00:00,2023-05-26 21:15:00,00:15:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,C,Otros (Int.) (P Madera L3),  Operaciones,,N,S,Auto inversiones de limpieza del RTBK 210-21-703 por alto torque,,,,,
2023-05-26 16:00:00,2023-05-26 16:40:00,00:40:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,C,Patinamiento de Cinta (P Madera L3),    Mecánica,,S,S,Tensado de cinta por patinamiento.,,,,,
